class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
A,0.592585563659668,0.6313978433609009,-1.7941079022421036e-07,0.0,0.569769561290741,0.5389545559883118,0.008960728533565998,0.0,0.521921694278717,0.48666420578956604,0.008165540173649788,0.0,0.4707535207271576,0.47821566462516785,0.006275353953242302,0.0,0.4361482858657837,0.49642372131347656,0.00576687790453434,0.0,0.49606576561927795,0.4647192656993866,-0.01210074219852686,0.0,0.4222181737422943,0.44734546542167664,-0.0188198983669281,0.0,0.4333762526512146,0.4717426896095276,-0.018410859629511833,0.0,0.459118127822876,0.4870683252811432,-0.015695294365286827,0.0,0.47582781314849854,0.5217509269714355,-0.018773633986711502,0.0,0.4107980728149414,0.5103368163108826,-0.018534677103161812,0.0,0.42658281326293945,0.5255619287490845,-0.011865159496665001,0.0,0.4507935345172882,0.5317598581314087,-0.008172793313860893,0.0,0.46262770891189575,0.5773730874061584,-0.023499755188822746,0.0,0.4216363728046417,0.563237190246582,-0.017535341903567314,0.0,0.43951117992401123,0.5694372653961182,-0.0064741214737296104,0.0,0.4602000117301941,0.5737180113792419,-0.0021291926968842745,0.0,0.4559500813484192,0.6272109150886536,-0.02760884165763855,0.0,0.4315447211265564,0.6040518283843994,-0.018464932218194008,0.0,0.44902631640434265,0.6078196167945862,-0.005729589611291885,0.0,0.4663216173648834,0.6120083332061768,0.0023682184983044863,0.0
A,0.5906450748443604,0.6311550140380859,-1.816620169847738e-07,0.0,0.5680018663406372,0.5389967560768127,0.008995361626148224,0.0,0.5213077068328857,0.4866500198841095,0.00812087208032608,0.0,0.471297949552536,0.4777945876121521,0.006210917606949806,0.0,0.43704649806022644,0.495333194732666,0.005692256148904562,0.0,0.49569568037986755,0.46321725845336914,-0.012995135970413685,0.0,0.4218137264251709,0.446850448846817,-0.019479064270853996,0.0,0.43285632133483887,0.47143638134002686,-0.018488826230168343,0.0,0.4581536650657654,0.4865751266479492,-0.015382678247988224,0.0,0.475654661655426,0.5200949907302856,-0.01963972859084606,0.0,0.4103459417819977,0.5094664096832275,-0.019699253141880035,0.0,0.4265114665031433,0.5252021551132202,-0.012656793929636478,0.0,0.4509492814540863,0.531313955783844,-0.00856054201722145,0.0,0.4622964859008789,0.5753576159477234,-0.024241354316473007,0.0,0.42139920592308044,0.5613136291503906,-0.018368816003203392,0.0,0.4395236074924469,0.5683411359786987,-0.00696288188919425,0.0,0.4603060781955719,0.5728040337562561,-0.0023134935181587934,0.0,0.4550008773803711,0.624943196773529,-0.028230106458067894,0.0,0.4313451051712036,0.6018049716949463,-0.01914290525019169,0.0,0.44906556606292725,0.6064679026603699,-0.006416857708245516,0.0,0.4662570357322693,0.6107097268104553,0.001712972647510469,0.0
A,0.33806678652763367,0.34706994891166687,-2.0809957845813187e-07,0.0,0.3199787139892578,0.24432003498077393,0.017970386892557144,0.0,0.28211086988449097,0.19162194430828094,0.0207777451723814,0.0,0.2427324503660202,0.18553349375724792,0.019599176943302155,0.0,0.2145010083913803,0.20756013691425323,0.017905209213495255,0.0,0.24178369343280792,0.15123140811920166,0.0019977991469204426,0.0,0.19228880107402802,0.13985100388526917,0.0021484068129211664,0.0,0.19925259053707123,0.17245955765247345,0.003568086074665189,0.0,0.21948890388011932,0.19250759482383728,0.004689360503107309,0.0,0.21420735120773315,0.2000163197517395,-0.008614284917712212,0.0,0.18780112266540527,0.2012985646724701,0.0006638880586251616,0.0,0.20404626429080963,0.22660502791404724,0.006562576163560152,0.0,0.2250240594148636,0.23747994005680084,0.007652425207197666,0.0,0.1995980590581894,0.25746971368789673,-0.016374865546822548,0.0,0.19348594546318054,0.25986209511756897,-0.005873330868780613,0.0,0.21113497018814087,0.2759450376033783,0.0005470253527164459,0.0,0.23049014806747437,0.28495100140571594,0.0006632013246417046,0.0,0.19210244715213776,0.3144388198852539,-0.022840462625026703,0.0,0.198409304022789,0.30930083990097046,-0.014153324998915195,0.0,0.21879208087921143,0.3214467167854309,-0.0050337850116193295,0.0,0.2361714094877243,0.32806703448295593,0.0012489617802202702,0.0
A,0.3400726616382599,0.3497227728366852,-2.1189991628034477e-07,0.0,0.32104963064193726,0.24588285386562347,0.01842508651316166,0.0,0.28168433904647827,0.1927650272846222,0.0216347835958004,0.0,0.2427111119031906,0.18641501665115356,0.02047661691904068,0.0,0.21466904878616333,0.20868712663650513,0.01877463236451149,0.0,0.2414977252483368,0.15144452452659607,0.00477644894272089,0.0,0.19266489148139954,0.14081448316574097,0.004816703498363495,0.0,0.20095519721508026,0.1735812872648239,0.005455926526337862,0.0,0.22181947529315948,0.19294646382331848,0.005934500135481358,0.0,0.21429607272148132,0.19980649650096893,-0.006374599877744913,0.0,0.18737681210041046,0.20155289769172668,0.002524642739444971,0.0,0.2038251906633377,0.2266732156276703,0.007800092454999685,0.0,0.2250305861234665,0.23720115423202515,0.008586405776441097,0.0,0.19982799887657166,0.25736868381500244,-0.014861070550978184,0.0,0.19273486733436584,0.25987952947616577,-0.004836255684494972,0.0,0.2105172872543335,0.27596914768218994,0.0012523246696218848,0.0,0.23007775843143463,0.2845924198627472,0.0013766719494014978,0.0,0.19254189729690552,0.31451869010925293,-0.02209361083805561,0.0,0.19817513227462769,0.3099232614040375,-0.013699186034500599,0.0,0.21860140562057495,0.32219403982162476,-0.004677704535424709,0.0,0.23621046543121338,0.32861602306365967,0.0016604689881205559,0.0
A,0.32605740427970886,0.7700791954994202,-4.507820250410077e-08,0.0,0.3052854835987091,0.6525191068649292,0.00919263530522585,0.0,0.2445055991411209,0.6074067950248718,0.014709146693348885,0.0,0.1919030249118805,0.608849048614502,0.02028580754995346,0.0,0.16257046163082123,0.6233167052268982,0.027895750477910042,0.0,0.19093184173107147,0.625817596912384,-0.0069686914794147015,0.0,0.13369207084178925,0.5802738070487976,-0.0039387838914990425,0.0,0.16121697425842285,0.5852800607681274,0.0020391345024108887,0.0,0.18855294585227966,0.6001882553100586,0.007393782492727041,0.0,0.17081288993358612,0.6924920082092285,-0.007690597325563431,0.0,0.1328841596841812,0.6433960199356079,0.008765153586864471,0.0,0.15813802182674408,0.6404339075088501,0.02096257545053959,0.0,0.1826130598783493,0.6493856906890869,0.024885250255465508,0.0,0.16890427470207214,0.7500734925270081,-0.006233565043658018,0.0,0.14596562087535858,0.7010642886161804,0.012977887876331806,0.0,0.1669386327266693,0.6938225030899048,0.022740738466382027,0.0,0.1866547167301178,0.705116331577301,0.022947655990719795,0.0,0.17605866491794586,0.7973752617835999,-0.004147666972130537,0.0,0.16070839762687683,0.7493237853050232,0.012175492942333221,0.0,0.179276242852211,0.7418880462646484,0.023309865966439247,0.0,0.19536659121513367,0.7480772137641907,0.028618501499295235,0.0
A,0.3363255262374878,0.7776843905448914,-1.0937394279153523e-07,0.0,0.3110789954662323,0.6586579084396362,0.01246405579149723,0.0,0.2564145028591156,0.6067164540290833,0.019235553219914436,0.0,0.20462895929813385,0.6052994132041931,0.02562406286597252,0.0,0.17510901391506195,0.6239411234855652,0.034284837543964386,0.0,0.19568945467472076,0.6253734230995178,-0.00241846707649529,0.0,0.13636405766010284,0.5807595252990723,-0.001573026878759265,0.0,0.16361823678016663,0.5832024812698364,0.002365324180573225,0.0,0.19135944545269012,0.600803792476654,0.0075121126137673855,0.0,0.17375418543815613,0.6906486749649048,-0.004975742660462856,0.0,0.13063791394233704,0.6402757167816162,0.010446351952850819,0.0,0.15661126375198364,0.6363343596458435,0.020948365330696106,0.0,0.18068602681159973,0.6482806205749512,0.025069866329431534,0.0,0.16952867805957794,0.7466471195220947,-0.004988071508705616,0.0,0.14634479582309723,0.6995292901992798,0.015285036526620388,0.0,0.16737088561058044,0.6926783919334412,0.02527173049747944,0.0,0.18788206577301025,0.7061522603034973,0.025946689769625664,0.0,0.17398300766944885,0.7933678030967712,-0.004257947206497192,0.0,0.1632128357887268,0.7471789717674255,0.014079269021749496,0.0,0.18211285769939423,0.7397840023040771,0.02645389921963215,0.0,0.19850175082683563,0.7495138645172119,0.033281851559877396,0.0
A,0.8076469302177429,0.829815149307251,-1.1010929057420071e-07,0.0,0.7949408292770386,0.7271915674209595,-0.007137156557291746,0.0,0.7283260822296143,0.657867968082428,-0.024376925081014633,0.0,0.6541008949279785,0.6586650609970093,-0.037276118993759155,0.0,0.615411102771759,0.7063187956809998,-0.049226321280002594,0.0,0.7528101801872253,0.6792229413986206,-0.07205982506275177,0.0,0.6503102779388428,0.6437531113624573,-0.09428461641073227,0.0,0.6673809885978699,0.6566779613494873,-0.09743402153253555,0.0,0.6951977610588074,0.6706976890563965,-0.0960036963224411,0.0,0.736014187335968,0.7464709877967834,-0.07646248489618301,0.0,0.6370894908905029,0.7026487588882446,-0.09140356630086899,0.0,0.6585327386856079,0.7080816626548767,-0.0817275196313858,0.0,0.6870762705802917,0.7230661511421204,-0.0765838548541069,0.0,0.716270387172699,0.8044766783714294,-0.07749315351247787,0.0,0.6295750141143799,0.756151556968689,-0.0847155973315239,0.0,0.6537035703659058,0.7539438009262085,-0.06600301712751389,0.0,0.681007444858551,0.7659170627593994,-0.055358465760946274,0.0,0.6959683895111084,0.8512100577354431,-0.07814676314592361,0.0,0.6324325799942017,0.7995051741600037,-0.07920610159635544,0.0,0.6520774960517883,0.7943102121353149,-0.06398860365152359,0.0,0.672711193561554,0.8079219460487366,-0.055331770330667496,0.0
A,0.8078975081443787,0.835533618927002,-1.1649311204564583e-07,0.0,0.795808732509613,0.7314520478248596,-0.006932839285582304,0.0,0.730256199836731,0.6633315086364746,-0.022540977224707603,0.0,0.6568284630775452,0.665582001209259,-0.034502290189266205,0.0,0.6180965900421143,0.7105998396873474,-0.04518245905637741,0.0,0.7518569827079773,0.6825992465019226,-0.06311295181512833,0.0,0.6510543823242188,0.6470885872840881,-0.0855259895324707,0.0,0.6680094003677368,0.6584782600402832,-0.09053871035575867,0.0,0.6952865719795227,0.6724768877029419,-0.09004005789756775,0.0,0.7340933084487915,0.7486836910247803,-0.06729400157928467,0.0,0.6375337243080139,0.7048377990722656,-0.0819254070520401,0.0,0.6594341397285461,0.7082890868186951,-0.07453858107328415,0.0,0.6878621578216553,0.724111020565033,-0.07035533338785172,0.0,0.7140828371047974,0.8061686158180237,-0.06876903772354126,0.0,0.6307380795478821,0.7573578357696533,-0.07591047883033752,0.0,0.6549680829048157,0.7534218430519104,-0.05930916965007782,0.0,0.6818695664405823,0.7657466530799866,-0.049460601061582565,0.0,0.6939725875854492,0.8523765206336975,-0.06998780369758606,0.0,0.6325269341468811,0.8014717102050781,-0.07064902037382126,0.0,0.6524738669395447,0.7946993112564087,-0.056234654039144516,0.0,0.6732144355773926,0.80833899974823,-0.047706931829452515,0.0
A,0.8429378271102905,0.3874267339706421,-3.6645911904997774e-07,0.0,0.8238476514816284,0.2999083697795868,0.0033866348676383495,0.0,0.7639511227607727,0.23496805131435394,-0.008733917027711868,0.0,0.689490795135498,0.23793388903141022,-0.021380402147769928,0.0,0.6485915184020996,0.2753908932209015,-0.03257504478096962,0.0,0.7824736833572388,0.16878098249435425,-0.02990354411303997,0.0,0.6857203841209412,0.17651385068893433,-0.04977957159280777,0.0,0.69577956199646,0.22026699781417847,-0.054808903485536575,0.0,0.7177786827087402,0.2269098460674286,-0.05692015215754509,0.0,0.7747309803962708,0.21734505891799927,-0.04216240718960762,0.0,0.6725203394889832,0.24000054597854614,-0.06031977757811546,0.0,0.6907397508621216,0.2740084230899811,-0.05578571557998657,0.0,0.7155229449272156,0.2758244574069977,-0.052546046674251556,0.0,0.7608717083930969,0.272041916847229,-0.053170640021562576,0.0,0.6744322776794434,0.3021737337112427,-0.0659325122833252,0.0,0.6992098689079285,0.3254820704460144,-0.05391635000705719,0.0,0.7252414226531982,0.3199784457683563,-0.046009767800569534,0.0,0.7453629970550537,0.32806161046028137,-0.06345903128385544,0.0,0.6828612685203552,0.3460221290588379,-0.06925773620605469,0.0,0.7037344574928284,0.3628874123096466,-0.06004635989665985,0.0,0.7248928546905518,0.3591967821121216,-0.05305487662553787,0.0
A,0.8459904789924622,0.3909376263618469,-3.5638447570818244e-07,0.0,0.824485719203949,0.3027297258377075,0.003113314975053072,0.0,0.7646399140357971,0.23906457424163818,-0.009538864716887474,0.0,0.6912888288497925,0.2409670650959015,-0.023031113669276237,0.0,0.6494099497795105,0.2740684747695923,-0.03473448380827904,0.0,0.7834051847457886,0.16991199553012848,-0.027872471138834953,0.0,0.6875659823417664,0.1757524609565735,-0.04887079820036888,0.0,0.6970816254615784,0.21986117959022522,-0.05522921681404114,0.0,0.7195334434509277,0.22698532044887543,-0.05812292918562889,0.0,0.7751724720001221,0.21704429388046265,-0.040569160133600235,0.0,0.6742752194404602,0.2382286638021469,-0.05964374914765358,0.0,0.6915740370750427,0.27298271656036377,-0.05616525560617447,0.0,0.7168112993240356,0.27477678656578064,-0.0534541979432106,0.0,0.7610613703727722,0.271917462348938,-0.052318040281534195,0.0,0.6754196286201477,0.3016946017742157,-0.06594514101743698,0.0,0.699049174785614,0.3259477913379669,-0.05447421595454216,0.0,0.7253246307373047,0.32063496112823486,-0.046710819005966187,0.0,0.7455067038536072,0.32852745056152344,-0.06349308788776398,0.0,0.6842100620269775,0.34675490856170654,-0.07023832201957703,0.0,0.7045274972915649,0.3639543354511261,-0.06157616153359413,0.0,0.7261548042297363,0.36006468534469604,-0.054694972932338715,0.0
